product_category_name_english,jumlah_pembelian,total_harga
bed_bath_table,11823,1712553.67
health_beauty,9972,1657373.12
sports_leisure,8945,1392127.56
furniture_decor,8744,1430176.39
computers_accessories,8082,1585330.45
housewares,7355,1094758.13
watches_gifts,6201,1429216.68
telephony,4721,486882.05
garden_tools,4574,838280.75
auto,4379,852294.33
toys,4273,619037.69
cool_stuff,3987,779698.0
perfumery,3560,506738.66
baby,3196,539845.66
electronics,2845,259857.1
stationery,2617,317440.07
fashion_bags_accessories,2151,218158.28
pet_shop,2028,311268.97
office_furniture,1778,646826.49
unknown,1698,252801.71
consoles_games,1191,195480.38
luggage_accessories,1163,187151.29
construction_tools_construction,951,241475.63
home_appliances,788,95532.27
musical_instruments,718,233074.12
small_appliances,701,225584.38
home_construction,634,136645.29
books_general_interest,565,64694.76
furniture_living_room,528,136138.77
food,526,46428.67
home_confort,475,84329.06
drinks,386,71429.65
audio,380,60324.62
market_place,332,45335.92
construction_tools_lights,313,72712.48
air_conditioning,302,91170.66
kitchen_dining_laundry_garden_furniture,298,74660.98
food_drink,289,27289.73
fashion_shoes,274,32422.74
industry_commerce_and_business,271,56745.76
fixed_telephony,271,207010.26
books_technical,270,24915.44
home_appliances_2,268,124563.45999999999
agro_industry_and_commerce,252,118730.61
costruction_tools_garden,245,42394.41
computers,220,279121.55
art,219,30992.93
signaling_and_security,201,68488.05
construction_tools_safety,199,65691.03
christmas_supplies,155,18994.77
fashion_male_clothing,145,17290.98
fashion_underwear_beach,144,12714.54
furniture_bedroom,125,31598.94
costruction_tools_tools,105,21069.07
tablets_printing_image,87,10042.93
small_appliances_home_oven_and_coffee,78,51229.32
cine_photo,73,9530.32
dvds_blu_ray,71,7935.28
books_imported,62,6701.89
fashio_female_clothing,48,5109.62
party_supplies,46,5966.31
furniture_mattress_and_upholstery,41,5998.54
music,40,6901.43
diapers_and_hygiene,39,4221.25
flowers,33,2213.01
home_comfort_2,31,1710.54
fashion_sport,30,3645.92
arts_and_craftmanship,24,2326.17
la_cuisine,16,2913.53
portable_kitchen_and_food_preparators,15,4335.650000000001
cds_dvds_musicals,14,1199.43
pc_gamer,10,2174.43
fashion_childrens_clothes,8,785.67
security_and_services,2,324.51
