geolocation_city,geolocation_state,jumlah_customer,geolocation_lat,geolocation_lng
sao paulo,SP,14997,-23.565371912441265,-46.634518004057426
rio de janeiro,RJ,6623,-22.902347616021345,-43.357638120447035
belo horizonte,MG,2683,-19.89495375164878,-43.98850493908815
brasilia,DF,1995,-15.788589186219673,-48.04288519197681
curitiba,PR,1476,-25.4577751608811,-49.27717575595131
campinas,SP,1398,-22.89955265754702,-47.066871036663905
porto alegre,RS,1330,-30.063909109282868,-51.183264443732554
salvador,BA,1214,-12.94583840113222,-38.46141742017362
guarulhos,SP,1153,-23.446956482751983,-46.497971800117284
sao bernardo do campo,SP,908,-23.695366856668546,-46.57064376816888
niteroi,RJ,811,-22.68482052672973,-42.9236932891696
santo andre,SP,768,-23.405216895716737,-46.35042138474759
osasco,SP,717,-23.535403165671635,-46.78754159348816
santos,SP,692,-23.95226888704902,-46.339495199124016
goiania,GO,679,-16.677159690801044,-49.28110506092352
sao jose dos campos,SP,666,-23.198702030879172,-45.88258083808876
fortaleza,CE,646,-3.769090826248245,-38.54212642346062
sorocaba,SP,610,-23.485145175823945,-47.460875100501916
recife,PE,594,-8.061969250453933,-34.921141024682456
jundiai,SP,547,-23.19080565511267,-46.89376131209524
florianopolis,SC,546,-27.583031546294546,-48.51524963691083
ribeirao preto,SP,489,-21.170133899500993,-47.804121368315506
belem,PA,435,-1.5392447509537286,-48.16572562945362
nova iguacu,RJ,432,-22.73923610514682,-43.48299096140804
barueri,SP,419,-23.50444968272434,-46.87357309395179
contagem,MG,417,-19.91107470332692,-44.065333770028225
juiz de fora,MG,415,-21.747349670460093,-43.36785668565559
sao goncalo,RJ,399,-22.825920395548376,-43.01711633072103
mogi das cruzes,SP,371,-23.53786712975752,-46.1928619388082
vitoria,ES,371,-20.53372339836972,-40.80384904055661
uberlandia,MG,367,-18.921813641863324,-48.26878494493718
piracicaba,SP,360,-22.71520872285104,-47.64247533211831
sao luis,MA,345,-2.5400506282661666,-44.256601970766425
sao jose do rio preto,SP,330,-20.810775272098784,-49.36588606942974
vila velha,ES,325,-20.374617687303765,-40.32866745191904
carapicuiba,SP,320,-23.546397996655525,-46.84030271226898
campo grande,MS,315,-20.17711221486812,-54.20567565978156
maua,SP,314,-23.666455623154597,-46.44422922808829
londrina,PR,298,-23.307532083765732,-51.16448880488293
praia grande,SP,292,-24.07014750408159,-46.38098754151025
taboao da serra,SP,285,-23.62006747528362,-46.78229533581854
serra,ES,278,-20.156188517068358,-40.25555622288311
diadema,SP,274,-23.69329422718562,-46.611348846390534
teresina,PI,272,-5.091370328836928,-42.77536902138211
indaiatuba,SP,269,-23.095046191480453,-47.207171909543646
sao caetano do sul,SP,267,-23.626546429226707,-46.56562906052561
bauru,SP,267,-22.314897921977078,-49.05784532546152
taubate,SP,266,-23.029488449467802,-45.56493560764726
duque de caxias,RJ,262,-22.700759734862125,-43.2835949380458
maringa,PR,261,-23.418645190649002,-51.93767876914542
joinville,SC,260,-26.30438840263932,-48.84127650959419
campos dos goytacazes,RJ,246,-21.659512363882477,-41.410576633064636
maceio,AL,244,-9.614992039706586,-35.73807328083105
cotia,SP,244,-23.623332429949315,-46.923502986076855
joao pessoa,PB,243,-7.14908041851178,-34.86006378287944
cuiaba,MT,243,-15.607446185509358,-56.061319724436
macae,RJ,232,-22.360119085426906,-41.777762111295004
sao carlos,SP,226,-22.31325038154916,-48.19293823611768
volta redonda,RJ,226,-22.50736616965064,-44.09639571268588
suzano,SP,222,-23.559721747206055,-46.310974248874246
aracaju,SE,221,-10.95040362048524,-37.07754927838959
petropolis,RJ,220,-22.47319551077451,-43.17138316429273
americana,SP,220,-22.736590835743336,-47.315958285426
guaruja,SP,215,-23.96980342273491,-46.259728735712045
caxias do sul,RS,213,-29.15793696579025,-51.17333873670829
montes claros,MG,206,-16.72591681152731,-43.8566085753747
natal,RN,205,-5.801398811040404,-35.227613191226254
canoas,RS,202,-29.915248910898352,-51.16736326164109
betim,MG,201,-19.959935211944536,-44.16730343352223
marilia,SP,195,-22.215790267138875,-49.94782872677742
santa maria,RS,188,-27.682499882588775,-52.0397968429981
jacarei,SP,188,-23.29759665256576,-45.976845174299356
blumenau,SC,183,-26.889125981460403,-49.089389390040196
uberaba,MG,182,-19.742941554162087,-47.90289244566717
limeira,SP,181,-22.570366157541812,-47.40732926009228
pelotas,RS,180,-31.74160004484057,-52.32660021304771
valinhos,SP,178,-22.97736543504976,-46.998570428791716
sumare,SP,177,-22.826419627927,-47.23705439350761
santana de parnaiba,SP,177,-23.448018325426997,-46.90711031754866
feira de santana,BA,176,-12.247265650202394,-38.95602705885257
itapevi,SP,169,-23.547344653957182,-46.94896796578872
ipatinga,MG,168,-19.460858316708794,-42.55653921573022
itaquaquecetuba,SP,166,-23.46634639298319,-46.33574875457495
sao jose,SC,166,-27.266828003892638,-49.003789979594345
sao vicente,SP,161,-22.783944763382376,-45.77286512910222
franca,SP,160,-20.529429145366667,-47.39579023603537
presidente prudente,SP,158,-22.117466177655334,-51.37323533248637
atibaia,SP,154,-23.124303363011418,-46.56849829185539
embu das artes,SP,154,-23.652014531234244,-46.833299709355266
araraquara,SP,150,-21.780656707000457,-48.17140041040392
rio claro,SP,149,-22.43859399968252,-47.25476628719335
cascavel,PR,146,-23.911694798803044,-52.697402998999145
nova friburgo,RJ,144,-22.281289913688873,-42.52235339281925
hortolandia,SP,143,-22.882521182308334,-47.21213515534081
braganca paulista,SP,142,-22.94558125551161,-46.543767607570295
governador valadares,MG,140,-18.88268446141801,-41.97266573050763
marica,RJ,136,-22.927548373724363,-42.859675539103215
cariacica,ES,136,-20.325081997705517,-40.38517010270022
divinopolis,MG,136,-20.148637168319073,-44.887565851314825
aracatuba,SP,136,-21.200373501970265,-50.448310328224686
manaus,AM,135,-3.073855371415415,-60.00043135040356
ponta grossa,PR,135,-25.092855266527994,-50.163052902694986
rio das ostras,RJ,135,-22.496938855918618,-41.93818414030894
jaboatao dos guararapes,PE,134,-8.143049563427596,-34.96412609787032
itu,SP,132,-23.27883186713923,-47.300048439475425
sao joao de meriti,RJ,130,-22.784866949082517,-43.36435321769478
sao jose dos pinhais,PR,128,-25.56096661278328,-49.172088515103596
paulinia,SP,125,-22.75940900964783,-47.16039767000705
pouso alegre,MG,123,-22.234703917468753,-45.922552250482234
sete lagoas,MG,123,-19.450830093973913,-44.228815950088425
santa barbara doeste,SP,123,-22.747047361248853,-47.404543483769764
rio grande,RS,122,-32.10849699284459,-52.15688461499019
barra mansa,RJ,120,-22.539261130353868,-44.174904592531284
novo hamburgo,RS,120,-29.69033596910943,-51.12363014445859
cachoeiro de itapemirim,ES,118,-20.8465140831823,-41.129461507138
itajai,SC,118,-26.919421493639927,-48.6936005730018
pocos de caldas,MG,117,-21.809418270403075,-46.55810811952666
cabo frio,RJ,116,-22.807879240797636,-42.01923968225259
teresopolis,RJ,115,-22.396415659196915,-42.95516590145655
resende,RJ,115,-22.46871987448119,-44.453204063701634
passo fundo,RS,112,-28.25991589407365,-52.41854672459782
anapolis,GO,110,-16.326988526263698,-48.947205474365106
belford roxo,RJ,109,-22.732068962030155,-43.38031350203063
gravatai,RS,108,-29.92958113722306,-51.01268811269494
porto velho,RO,107,-8.78058553606226,-63.888979052698375
ribeirao pires,SP,107,-23.702790291087805,-46.40057957639322
ferraz de vasconcelos,SP,107,-23.547419321812995,-46.37304411891778
mage,RJ,105,-22.644797124010548,-43.12689586455465
nilopolis,RJ,105,-22.809885342144387,-43.41805007392364
franco da rocha,SP,104,-23.300408722049934,-46.73777524475535
aparecida de goiania,GO,104,-16.78954136140555,-49.277847506023
sao leopoldo,RS,101,-29.756241350776797,-51.13881538263514
botucatu,SP,99,-22.87886798401945,-48.44511693489502
chapeco,SC,99,-27.099907008310087,-52.62089426915608
cajamar,SP,98,-23.364111338403507,-46.86080577016429
caieiras,SP,98,-23.372635910068272,-46.727125378865615
balneario camboriu,SC,98,-27.11671635176728,-48.676614558340205
itapecerica da serra,SP,97,-23.728129478278074,-46.84987918761302
patos de minas,MG,97,-18.58917347892798,-46.510256952067124
guaratingueta,SP,97,-22.799553741797173,-45.19627345050398
ribeirao das neves,MG,96,-19.78123666601296,-44.07058920010584
pindamonhangaba,SP,96,-22.92876618018041,-45.43510315811162
nova lima,MG,95,-20.026109967241165,-43.90587847102721
vinhedo,SP,94,-23.058597093763655,-46.930705478859544
palhoca,SC,94,-27.686414130030876,-48.66043830413742
itatiba,SP,94,-23.002824435285685,-46.833915800385356
criciuma,SC,93,-28.692994517261365,-49.39113543509819
salto,SP,93,-23.191495391046843,-47.300911234090556
francisco morato,SP,93,-23.279407506885327,-46.73959580552666
olinda,PE,92,-7.993228469983003,-34.86428682018868
santa luzia,MG,91,-19.19765359576483,-43.87060108914837
itajuba,MG,91,-22.42934867893487,-45.45999253330202
palmas,TO,91,-10.950993179291753,-48.476311644010316
vitoria da conquista,BA,91,-14.862254996525818,-40.84473591885517
araras,SP,89,-22.358135232496153,-47.37222320114483
caraguatatuba,SP,88,-23.641622962970875,-45.413053129806684
jaragua do sul,SC,85,-26.4820229189055,-49.10801153981688
foz do iguacu,PR,85,-25.517651513814563,-54.564910952082826
votorantim,SP,84,-23.53937532645128,-47.39009568288883
vicosa,MG,84,-15.53891174976402,-40.575609496801874
ananindeua,PA,84,-1.364695018119803,-48.399331798370575
varginha,MG,83,-21.55032718433778,-45.424232742410894
conselheiro lafaiete,MG,83,-20.663713224569367,-43.787255202199624
angra dos reis,RJ,82,-22.992268970942835,-44.338271609987984
poa,SP,81,-23.527756207991235,-46.34703059114055
lavras,MG,81,-21.244708636505745,-44.999201639430474
lages,SC,81,-27.81060984708438,-50.323872113862436
jandira,SP,79,-23.539958626727422,-46.90138271463413
ourinhos,SP,79,-22.980054238419303,-49.87593760541825
assis,SP,79,-22.656960698880514,-50.41550234659711
itabira,MG,79,-19.637586771280173,-43.21605434825938
lorena,SP,78,-22.738010975658543,-45.11928060740413
araxa,MG,78,-19.592356519666886,-46.93873367909339
itapetininga,SP,77,-23.588422432495484,-48.03895103551882
itanhaem,SP,77,-24.18271029899566,-46.801838599988436
sao roque,SP,77,-23.540591415605142,-47.121860684908505
sao joao da boa vista,SP,76,-21.971109550406094,-46.80204631907855
birigui,SP,76,-21.288297429891156,-50.34414623373878
araruama,RJ,75,-22.86965694518422,-42.321414936246086
varzea paulista,SP,75,-23.21518538479151,-46.83032411619195
cubatao,SP,75,-23.895336295317797,-46.4256171643923
barbacena,MG,74,-21.21897131335656,-43.77119629642083
mairipora,SP,74,-23.329721686232084,-46.59712215964799
mesquita,RJ,73,-22.45033648405959,-43.34921880249945
teofilo otoni,MG,73,-17.863714747963225,-41.506244482685105
tatui,SP,73,-23.349528471795235,-47.84876311042046
lauro de freitas,BA,72,-12.882879041800354,-38.31920627141557
barretos,SP,72,-20.565273402409062,-48.59878835158064
jau,SP,72,-22.294933929792982,-48.56206475668399
ilheus,BA,72,-14.799976733366703,-39.04294740660126
mogi mirim,SP,72,-22.45400949458001,-46.959964037056054
ubatuba,SP,72,-23.452929299956928,-45.093219408528476
