product_category_name_english,low_review,total_review,low_review_ratio
unknown,955,2357,40.51760712770471
fashion_male_clothing,37,131,28.24427480916031
office_furniture,440,1687,26.081802015411977
fixed_telephony,67,262,25.572519083969464
audio,79,361,21.88365650969529
home_confort,88,435,20.229885057471265
construction_tools_safety,39,193,20.207253886010363
furniture_decor,1621,8331,19.45744808546393
bed_bath_table,2112,11137,18.96381431265152
computers_accessories,1461,7849,18.61383615747229
art,38,207,18.357487922705314
furniture_living_room,91,502,18.127490039840637
home_construction,107,600,17.833333333333336
air_conditioning,52,292,17.80821917808219
fashion_underwear_beach,23,130,17.692307692307693
costruction_tools_garden,42,240,17.5
telephony,761,4517,16.847465131724597
baby,509,3048,16.6994750656168
furniture_bedroom,18,110,16.363636363636363
watches_gifts,967,5950,16.252100840336134
garden_tools,696,4329,16.077616077616078
agro_industry_and_commerce,34,212,16.037735849056602
electronics,433,2749,15.751182248090215
kitchen_dining_laundry_garden_furniture,44,280,15.714285714285714
housewares,1086,6943,15.641653463920496
consoles_games,173,1127,15.350488021295474
auto,643,4213,15.262283408497506
construction_tools_construction,140,926,15.118790496760258
drinks,55,377,14.588859416445624
sports_leisure,1260,8640,14.583333333333334
perfumery,498,3421,14.557147033031278
construction_tools_lights,43,296,14.527027027027026
christmas_supplies,21,146,14.383561643835616
small_appliances,97,677,14.32791728212703
market_place,44,309,14.239482200647249
musical_instruments,95,675,14.074074074074074
health_beauty,1321,9645,13.696215655780197
industry_commerce_and_business,36,266,13.533834586466165
toys,552,4091,13.493033488144707
cool_stuff,495,3772,13.12301166489926
stationery,328,2507,13.083366573593938
computers,26,200,13.0
pet_shop,251,1939,12.94481691593605
food,64,495,12.929292929292929
fashion_bags_accessories,259,2039,12.702305051495832
home_appliances_2,30,238,12.605042016806722
fashion_shoes,32,261,12.260536398467432
home_appliances,97,806,12.034739454094293
signaling_and_security,23,197,11.6751269035533
books_technical,29,266,10.902255639097744
luggage_accessories,105,1088,9.650735294117647
books_general_interest,47,549,8.561020036429873
food_drink,22,279,7.885304659498208
